cod_mun_ent,uf,nom_municipio_x,1.1,1.3,1.4,1.5,2.1.1,2.1.2,3.1,3.2.2,3.2.3,3.3,3.4,3.5,4.1,4.2,4.3,4.4,qtd_2018_x,Região,idhm,idhm_renda,soma_capag,media_indicadores,mediana_indicadores,sit_obr,sit_predita
350070.0,SP,Agudos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37023,SE,0.745,0.705,1.7028,0.5676,0.6717,0.0,0.0
410030.0,PR,Agudos do Sul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9269,S,0.66,0.6709999999999999,11.5988,3.8662666666666663,0.9615,0.0,0.0
320013.0,ES,�guia Branca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9653,SE,0.6779999999999999,0.66,0.9039,0.3013,0.0008,1.0,1.0
250020.0,PB,Aguiar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5571,NE,0.597,0.632,2.1506,0.7168666666666667,0.8984000000000001,0.0,0.0
170030.0,TO,Aguiarn�polis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6572,N,0.657,0.618,1.2121,0.4040333333333333,0.2608,0.0,0.0
310110.0,MG,Aimor�s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25193,SE,0.684,0.685,1.0756,0.35853333333333337,0.07730000000000001,0.0,0.0
290060.0,BA,Aiquara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4478,NE,0.583,0.573,3.0081,1.0027,0.9763,1.0,1.0
230040.0,CE,Aiuaba,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17303,NE,0.569,0.518,1.2941,0.4313666666666667,0.3682,1.0,1.0
310120.0,MG,Aiuruoca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6032,SE,0.6679999999999999,0.677,1.3453,0.4484333333333333,0.3973,0.0,0.0
430020.0,RS,Ajuricaba,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7063,S,0.753,0.763,1.2652,0.42173333333333335,0.3606,1.0,1.0
310130.0,MG,Alagoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2683,SE,0.649,0.634,1.1102,0.3700666666666666,0.1033,0.0,0.0
250030.0,PB,Alagoa Grande,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28623,NE,0.5820000000000001,0.5760000000000001,1.3981,0.4660333333333333,0.4275,1.0,1.0
250040.0,PB,Alagoa Nova,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20589,NE,0.5760000000000001,0.5670000000000001,1.3619,0.4539666666666666,0.3709,0.0,0.0
250050.0,PB,Alagoinha,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14367,NE,0.595,0.574,1.0866,0.3622,0.1349,1.0,1.0
260060.0,PE,Alagoinha,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14554,NE,0.599,0.569,4.7447,1.5815666666666666,0.9424,1.0,1.0
220025.0,PI,Alagoinha do Piau�,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7636,NE,0.531,0.535,0.7656000000000001,0.25520000000000004,0.0,1.0,1.0
290070.0,BA,Alagoinhas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150832,NE,0.6829999999999999,0.6809999999999999,2.01,0.67,0.7629,0.0,0.0
350075.0,SP,Alambari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5918,SE,0.7120000000000001,0.682,1.1289,0.3763,0.147,0.0,0.0
310140.0,MG,Albertina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3003,SE,0.6729999999999999,0.684,0.8483,0.2827666666666667,0.0058,0.0,0.0
210020.0,MA,Alc�ntara,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,22083,NE,0.573,0.525,0.0,0.0,0.0,1.0,1.0
230050.0,CE,Alc�ntaras,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11529,NE,0.6,0.5489999999999999,1.1845,0.3948333333333333,0.204,1.0,1.0
250053.0,PB,Alcantil,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5473,NE,0.578,0.55,2.3852,0.7950666666666667,0.9671,1.0,1.0
500025.0,MS,Alcin�polis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5268,CO,0.711,0.733,0.8717,0.2905666666666667,0.0,0.0,0.0
290080.0,BA,Alcoba�a,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,22449,NE,0.608,0.611,11.6936,3.897866666666667,0.7696,1.0,1.0
210030.0,MA,Aldeias Altas,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,26302,NE,0.513,0.5,4.7541,1.5847,0.887,1.0,1.0
430030.0,RS,Alecrim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6077,S,0.672,0.6829999999999999,1.1786,0.39286666666666653,0.1898,0.0,0.0
320020.0,ES,Alegre,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,30568,SE,0.721,0.708,0.0,0.0,0.0,1.0,1.0
430040.0,RS,Alegrete,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74173,S,0.74,0.72,0.9261,0.3087,0.0806,0.0,0.0
220027.0,PI,Alegrete do Piau�,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4912,NE,0.585,0.564,28.9736,9.657866666666667,0.0,1.0,1.0
430045.0,RS,Alegria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3559,S,0.695,0.7170000000000001,1.004,0.3346666666666667,0.1479,0.0,0.0
